variety,harvest_code,location,treatment,state,quality_overall,watercore,tree_vigor,fruit_drop,red_pct,color_pattern,comments,coarse_texture,harvest_load,fruit_load,eating_quality,scab_susc,brix,flavor,flesh_color,firm_or_soft,firmness_value,ground_color,over_color,image_url,size,shape,weight_grams,harvest_window,russeting,season,biennial,storage_quality,evaluation_date,drop_status,rootstock,preharvest_drop_pct,drop_location,texture,CAR_susc,fireblight_susc,skin_feel,skin_thick,starch_index,DA_meter,tree_habit,tree_vigor2,brix_numeric,firmness_numeric,red_pct_numeric,starch_numeric,routing,is_premium,size_numeric,season_numeric
Rogers McIntosh,,Belchertown,,MA,,,,,90,,,,,,,,12.4,,,,3.4,,,http://fruit.umext.umass.edu/images/2012apple/rogersmac091712.jpg,,,,,,,,,9/17/2012,some,,,,,,,,,12.4,5.9,,,12.4,3.4,90.0,12.4,unknown,False,3,3
Royal Cortland,,Belchertown,,MA,,,,,90,,does not starch test well,,,,,,15.3,,,,3.5,,,http://fruit.umext.umass.edu/images/2012apple/royalcort091712.jpg,,,,,,,,,9/17/2012,few,,,,,,,,,13.2,2-3,,,15.3,3.5,90.0,13.2,unknown,False,3,3
Rubinstar Jonagold,,Belchertown,,MA,,,,,80,,,,,,,,15.1,,,,3.6,,,http://fruit.umext.umass.edu/images/2012apple/rubinstarjonagold091712.jpg,,,,,,,,,9/17/2012,some,,,,,,,,,13.2,5.1,,,15.1,3.6,80.0,13.2,unknown,False,3,3
Morning Mist Fuji,,Belchertown,,MA,,,,,85,,nice,,,,,,13.5,,,,3.2,,,http://fruit.umext.umass.edu/images/2012apple/morningmistfuji091712b.jpg,,,,,,,,,9/17/2012,nil,,,,,,,,,13.4,6,,,13.5,3.2,85.0,13.4,unknown,False,3,3
Macoun,,Belchertown,,MA,,,,,65,,,,,,,,15,,,,3.25,,,http://fruit.umext.umass.edu/images/2012apple/macoun091712.jpg,,,,,,,,,9/17/2012,"some, push-off",,,,,,,,,11.7,2.9,,,15.0,3.25,65.0,11.7,unknown,False,3,3
Cherry Gala (Brandt),,Belchertown,,MA, at this point,,medium,,99,solid hint stripe,similar in appearance to Buckeye Gala; way over-mature,prone to stem-end,stem,heavy,fair,,13.8,sweet,cream-yellow,soft,2.9,yellow,dark red,http://fruit.umext.umass.edu/images/2012apple/cherrygala091712.jpg,medium,cylindrical-conic,196.0,,conspicuous,middle,,fair-good,9/17/2012,nil,,<5,stem,medium,,,slightly greasy,average,15.1,7.5,upright-spreading,weak-medium,13.8,2.9,99.0,15.1,juice,False,3,3
Empire,,Belchertown,,MA,,,,,75,,,,,,,,16,,,,3.1,,,http://fruit.umext.umass.edu/images/2012apple/empire091712.jpg,,,,,,,,,9/17/2012,nil,,,,,,,,,11.1,3.5,,,16.0,3.1,75.0,11.1,unknown,False,3,3
Liberty,,Belchertown,,MA,,,,,90,,"some drops, smallish fruit; some fly speck",,,,,,17,,,,3.0,,,http://fruit.umext.umass.edu/images/2012apple/liberty092412.jpg,,,,,,,,,9/24/2012,some+,,,,,,,,,11.8,3.5,,,17.0,3.0,90.0,11.8,unknown,False,3,3
Topaz,,Northboro,full rate,MA,,,medium,,55,,"ReTain; getting there, need another week",,,heavy,,,16.4,,,,3.1,,,http://fruit.umext.umass.edu/images/2012apple/topaz092612apple.jpg,,,,,,late,,,9/26/2012,nil,,,,,,,,,10.9,3.9,upright-spreading,medium-strong,16.4,3.1,55.0,10.9,unknown,False,3,5
Querina,,Northboro,,MA,good,,profuse,yes,90,solid-blush,"somewhat lopsided, irregular in shape (light crop); crisp textre at bite but soft in mouth",absent,,light,"not sure, Ok, a bit soft  in texture",,17.5, melting,cream-white,soft,3.35,green,medium red,http://fruit.umext.umass.edu/images/2012apple/querina092612apple.jpg,medium-large,"ovoid, kind of ribbed",260.0,,conspicuous,middle-late,,fair-good,9/26/2012,none,M.9/B.9?,0-10,stem,medium,,,dry,average,13.8,4.5,"spreading, whispy",medium,17.5,3.35,90.0,13.8,juice,False,3,4
Creston,,Northboro,,MA,good,,medium,yes,45,blush,,absent,,heavy,very good,,15.4,sweet,cream-yellow,crisp melting,3.4,yellow-green,orange-red,http://fruit.umext.umass.edu/images/2012apple/creston092612apple.jpg,large,mostly conic,303.0,,mostly inconspicuous,,,very good,9/26/2012,nil,,5,stem,medium,,,dry,average,14.2,4.2,upright-spreading,medium-strong,15.4,3.4,45.0,14.2,fresh_standard,False,5,3
Sunrise,,Pittstown,,NJ,,,,,60,stripe-blush,,absent,,heavy,,,15.31,,white,crisp,2.88,yellow-green,pink-red,,,globose-conic,,,somewhat conspicuous,,,,8/7/2012,,,0,,,,,,,11.2,,,,15.31,2.88,60.0,11.2,unknown,False,3,3
Zestar,,Pittstown,no,NJ,good,,,,70,solid-blush,,absent,,medium,,,16.13,tart,white,crisp,3.02,green,pink-red,,medium,globose-conic,,,somewhat conspicuous,early,,good,8/7/2012,few,,10,stem,,,,,,13.8,5.9,,medium,16.13,3.02,70.0,13.8,fresh_standard,False,3,1
Gala,,Princeton,,NJ,good,,,faint,75,stripe,,,,,good,,20.25,sweet,white,crisp,2.88,yellow-green,orange-red,,medium,ovoid,,,conspicuous,,,good,8/12/2012,,,10,stem,medium,,,,,10.8,3.9,,,20.25,2.88,75.0,10.8,fresh_standard,False,3,3
Honey Crisp,,Princeton,full rate,NJ,good,,medium,,40,blush-stripe,"Early picking this season. Colornot asin past seasons. Taste not quite as developed at this time, but pressure beginning to drop.",absent,,medium,good,,15.24,tart,white,crisp,10.3,green,orange-red,,medium,globose,,August 1-15,inconspicuous,early-middle,,good,8/12/2012,,,0,,,,,,,11.8,4.5,upright-spreading,medium,15.24,10.3,40.0,11.8,fresh_standard,False,3,2
Honey Crisp,,Pittstown,full rate,NJ,good,,medium-strong,,20,blush-stripe,"Very early sample, flavor not developed.",absent,,heavy,fair,,14.3,tart,cream-white,crisp,3.21,green,red,,,globose,230.0,,inconspicuous,early,,fair,8/13/2012,,,5,stem,medium,,,,average,10.8,1.7,upright-spreading,strong,14.3,3.21,20.0,10.8,fresh_standard,False,3,1
"September Wonder, Fuji",,Pittstown,full rate,NJ,good,,medium,,30,solid-blush,Early sample.,absent,,medium-heavy,good,,16,tart,cream-white,crisp,3.1,green,pink-red,,medium-large,globose,200.0,,somewhat conspicuous,early,,good,8/13/2012,,,4,side-net,fine,,,,average,10.6,2.3,spreading-upright,strong,16.0,3.1,30.0,10.6,fresh_standard,False,3,1
"RogersRed, Macintosh",,Pittstown,full rate,NJ,very good,,strong,faint,43,blush,,absent,,medium,good,,13.7,tart-sweet,white,crisp,3.14,green,red,,small-medium,obloid,170.0,August 1-15,somewhat conspicuous,early,,very good,8/13/2012,,,0,,,,,,average,11.0,5.4,spreading-upright,strong,13.7,3.14,43.0,11.0,fresh_premium,False,1,1
"LindaMac, Macintosh",,Pittstown,full rate,NJ,very good,,strong,faint,90,blush-stripe,,absent,,heavy,good,,13.6,tart-sweet,cream-white,crisp,3.3,green,red,,small-medium,obloid,533.0,August 1-15,conspicuous,early,,very good,8/13/2012,,,0,,,,,,average,11.5,4.6,upright-spreading,strong,13.6,3.3,90.0,11.5,fresh_premium,False,1,1
Blondee,,Pittstown,,NJ,good,,medium,no,0,blush,"Early sample, flavor notquite developed.",absent,,heavy,,,20.8,tart,cream-white,crisp,2.9,green,yellow,,medium,obloid,,,inconspicuous,early,,,8/13/2012,some,,10,stem mostly,fine,,,,thick,10.1,3.1,spreading-upright,medium,20.8,2.9,0.0,10.1,fresh_standard,False,3,1
"NY428, ‘Sister of Fortune’",,Pittstown,unknown,NJ,very good,,medium-strong,,79,blush,"Nice tasting, mac-ish apple",absent,,light-medium,very good,,14.9,tart-sweet,green-white,crisp,3.55,green,red,,medium-large,obloid,278.0,September 1-15,conspicuous,middle,,very good,9/4/2012,some,,0,,,,,not yet,somewhat thick,12.5,6.5,upright,strong,14.9,3.55,79.0,12.5,fresh_premium,False,3,3
Jonamac,,Pittstown,no,NJ,very good,,medium,no,72,blush,Tasty apple for eating and baking. Excellent flavor this season.,absent,,medium-heavy,very good,,11.0,sweet-tart,white,crisp,3.19,green,dark red,,medium,ovoid,198.4,September 1-15,conspicuous,middle,,very good,9/11/2012,some,,0,,,,,not yet,somewhat thick,12.3,7.3,spreading-upright,medium,11.0,3.19,72.0,12.3,fresh_premium,False,3,3
Gibson Golden Delicious,,Belchertown,,MA,,,,,NA but hint of orange-pink blush,,"nice, ready to go",,,,,,13,,,,3.5 (large),,,http://fruit.umext.umass.edu/images/2012apple/golddelicious100412.jpg,,,,,,,,,10/4/2012,few,Bud 9,,,,,,,,13,6.9,,,13.0,,,13.0,unknown,False,3,3
Mutsu,,Belchertown,,MA,,,,,,,"need another week, but edible",,,,,,15.3,,,,3.65 (very large),,,http://fruit.umext.umass.edu/images/2012apple/mutsu100412.jpg,,,,,,,,,10/4/2012,nil,,,,,,,,,11,3.9,,,15.3,,,11.0,unknown,False,3,3
Topaz,,Belchertown,,MA,,,,,80,,"ethylene indicates climacteric; good, ready to go",,,,,,15.7,,,,3.4,,,http://fruit.umext.umass.edu/images/2012apple/topaz100412.jpg,,,,,,,,,10/4/2012,nil/none,,,,,,,,,13.1,5.5,,,15.7,3.4,80.0,13.1,unknown,False,3,3
Ambrosia,,Belchertown,no,MA,excellent,,medium,faint,85,solid-blush hint stripe,"very mature despite SI; nice, wish we could grow more",absent,,light,excellent,,15.4,sweet-fruity,cream-yellow,medium melting,3.0,yellow,pink-red,http://fruit.umext.umass.edu/images/2012apple/ambrosia100912.jpg,medium on average,cylindrical-conic; somewhat typey,218.0,,mostly inconspicuous,late,,excellent,10/9/2012,nil,Bud 9,0,,,,,mostly dry,somewhat thin,13.8,5-6,upright,medium,15.4,3.0,85.0,13.8,fresh_premium,True,3,5
Cameo (Caudle cv.),,Belchertown,,MA,excellent,,medium,very faint,80,stripe-blush,1st pick,absent,,medium-heavy,very good,,15.6,mildly tart-sweet,green-white,medium melting,3.3,light green,light red,http://fruit.umext.umass.edu/images/2012apple/cameo100912.jpg,medium-large,very conic,282.0,,conspicuous,late,,very good,10/9/2012,none,"M.9, G.16, B.9",0,,,,,dry,average,12.7,4,spreading-upright,medium-strong,15.6,3.3,80.0,12.7,fresh_premium,False,3,5
Crimson Crisp,,Pittstown,no,NJ,very good,,medium-strong,yes,98,solid-blush,"Tasty, picked just a tad late, dark attractive apple. Slight watercore.",absent,,medium,fair,,16.3,sweet,cream-yellow,crisp melting,3.1,green-yellow,dark red,,medium,ovoid,207.9,October 1-15,somewhat conspicuous,middle,,very good,10/10/2012,few,,2,side-net,coarse,,,slightly greasy,somewhat thick,13.7,8.0,upright-spreading,medium,16.3,3.1,98.0,13.7,fresh_premium,False,3,3
Top Export Fuji,,Pittstown,no,NJ,good,,medium,faint,70,solid-blush,Tasty laterFuji,absent,,heavy,very good,,14.23,sweet,cream-yellow,crisp,3.38,green,orange-red,,medium-large,globose,269.3,October 1-15,somewhat conspicuous,middle,,very good,10/10/2012,few,B9,6,side-net,coarse,,,not yet,average,14.2,6.0,upright,medium,14.23,3.38,70.0,14.2,fresh_standard,False,3,3
Eve Braeburn,,Pittstown,unknown,NJ,very good,,medium-strong,faint,94,solid-blush,,absent,,medium,good,,15.1,tart-sweet,cream-yellow,crisp,3.25,green,orange-red,,medium,globose,235.3,October 1-15,conspicuous,middle,,very good,10/10/2012,some,M26,0,,,,,not yet,somewhat thick,12.7,6.9,spreading-upright,medium-strong,15.1,3.25,94.0,12.7,fresh_premium,False,3,3
Kumeu Crimson Braeburn,,Pittstown,unknown,NJ,very good,,medium-strong,faint,97,solid-blush,Attractive Braeburn.,absent,,medium,very good,,14.4,tart-sweet,cream-white,crisp,3.1,green,dark red,,small-medium,conic,207.0,October 1-15,conspicuous,middle,,very good,10/10/2012,few,B9,0,,,,,not yet,average,11.7,7.1,spreading-upright,medium,14.4,3.1,97.0,11.7,fresh_premium,False,1,3
Fuji ‘Brak’,,Belchertown,unknown,MA,excellent,,medium,very faint,65,blush-stripe,watercore; very nice,absent,,medium,excellent,,13.7,sweet,green-white-cream,crisp melting,3.35,light green,dull red hint pink,http://fruit.umext.umass.edu/images/2012apple/brakfuji101212apple.jpg,large,slight conic,272.0,October 1-15,somewhat conspicuous,late,,excellent,10/12/2012,none,,0,,,,,dry,somewhat thin,14.2,4-7,upright-spreading,medium-strong,13.7,3.35,65.0,14.2,fresh_premium,False,5,5
“Small” Braeburn (Brandt),,Belchertown,no,MA,good,,medium,yes,85,solid-blush,"one with watercore; definitely not small; lots of SBFS, stink bug",absent,,medium,very good,,18.1,sweet-tart,cream-white,medium-hard melting,3.2,light green,orange-red,http://fruit.umext.umass.edu/images/2012apple/smallbraeburn101512.jpg,medium-large,cylindrical-conic,260.0,October 16-31,almost inconspicuous,late,,good,10/15/2012,nil,EMLA 9,0,,,,,dry,somewhat thin,13.1,4.5,upright-spreading,weak-medium,18.1,3.2,85.0,13.1,fresh_standard,False,3,5
Stark Little Jewel,,Belchertown,,MA,good,,medium,faint,90,solid-blush hint stripe,heavy crop but decent fruit size; average eating quality,absent,,medium-heavy,fair-good,,17.5,tart-sweet,yellow-white,hard melting,3.0,green-yellow,maroon-red,http://fruit.umext.umass.edu/images/2012apple/starklittlejewel101512.jpg,small-medium,conic-typey,204.0,,"mostly conspicuous, but small",late,,fair-good,10/15/2012,nil,EMLA 7,5-10,stem,fine,,,slightly greasy,average,12.9,5,upright-spreading,medium,17.5,3.0,90.0,12.9,fresh_standard,False,1,5
Supreme Fuji (Brandt),,Belchertown,no,MA,fair,,medium,,75,solid-blush,"lots of watercore, off-fermented flavor; not a quality Fuji; plenty of SBFS",absent,,medium-heavy,poor,,16,sweet,white,medium-soft melting,3.2,light green,dull red,http://fruit.umext.umass.edu/images/2012apple/supremefuji101512apple.jpg,medium-large,slight conic,248.0,October 1-15,conspicuous,late,,fair,10/15/2012,nil,EMLA 9,0,,,,,dry,average,13.7,,upright-spreading,medium,16.0,3.2,75.0,13.7,juice,False,3,5
Suncrisp,,Belchertown,,MA,good,,medium,very faint,20,blush,"lots of defects; uneven maturity; quite a bit of drop in under a week; otherwise very attractive, geen color fruit left on tree (over-cropped)",very few,side,heavy,good,,15.4,sweet-tart,white-yellow,medium melting,3.4,yellow-green,light orange-red,http://fruit.umext.umass.edu/images/2012apple/suncrisp101512.jpg,medium-large,mostly conic,280.0,,inconspicuous,late,,good,10/15/2012,some,Bud 9,5-10,stem,fine,,,"not yet, a few, close",somewhat thin,13.1,6-7,upright-spreading,weak-medium,15.4,3.4,20.0,13.1,fresh_standard,False,3,5
Goldrush,,Belchertown,,MA,,yes,,yes,<10,,,few,,heavy,very good,,19.8,,,,3.05,yellow-green,bronze,,small-medium-large,mostly conic,217.0,,rather inconspicuous,,,,10/25/2012,none,Bud9,,,,,,,,11.7,5-6,,,19.8,3.05,,11.7,unknown,False,1,3
Little Jewel,,Pittstown,unknown,NJ,good,,medium-strong,faint,91,solid-blush,Harvested 10/22/12. In storage till now.,absent,,medium,very good,,15.7,sweet-tart,cream-yellow,crisp,2.77,yellow,dark red,,small,somewhat conic,160.0,October 16-31,conspicuous,middle,,very good,12/12/2012,some,,8,stem,medium,,,not yet,somewhat thick,13.2,8.0,spreading-upright,medium-strong,15.7,2.77,91.0,13.2,fresh_standard,False,1,3
Autumn Gala,,Pittstown,,NJ,very good,,strong,faint,96,blush-stripe,"Harvested 9/19/12, pressure avg very low, eating quality compromised. In storage 3 months, apple did not maintain pressure.",absent,,medium-heavy,,,9.9,tart-sweet,cream-yellow,soft,3,yellow,red,,small,ovoid,213.3,September 16-30,conspicuous,early-middle,,good,12/12/2012,few,,0,,,,,not yet,average,14.3,8.0,upright,medium-strong,9.9,3.0,96.0,14.3,fresh_premium,False,1,2
Galarina,,Pittstown,,NJ,very good,,medium,faint,87,blush-stripe,Harvested 10/10/12. Only 2 fruit to sample.,absent,,light,good,,14.8,tart,cream-yellow,crisp,3.0,green-yellow,red,,medium,globose-conic,220.0,October 1-15,,middle,,good,12/12/2012,none,,10,stem,medium,,,not yet,average,12.6,8.0,upright,medium,14.8,3.0,87.0,12.6,fresh_premium,False,3,3
Querina,,Pittstown,,NJ,very good,,medium,faint,96.5,solid-blush,,absent,,medium,good,,10.7,tart-sweet,cream-yellow,crisp,3.6,yellow,red,,large,globose,300.0,,conspicuous,middle,,very good,12/12/2012,few,,0,,,,,not yet,average,12.6,8.0,spreading-upright,medium,10.7,3.6,96.5,12.6,fresh_premium,False,5,3
Zestar!,,Belchertown,,MA,,,,,50,,could be ready to pick if looking for a tart Zestar! very heavy crop,,,,,,16,,,,3.0,,,http://fruit.umext.umass.edu/2013appleharvest/zestar081513.jpg,,,,,,,,,8/15/2013,nil,M.9,,,,,,,,11.8,3.5,,,16.0,3.0,50.0,11.8,unknown,False,3,3
Gingergold,,Belchertown,,MA,,,,,,,,,,medium-heavy,,,18,,,,3.2,,,http://fruit.umext.umass.edu/2013appleharvest/gingergoldapple082713.jpg,,,243.0,,,,,,8/27/2013,few,,,,,,,,,11.3,3-4,,,18.0,3.2,,11.3,unknown,False,3,3
Zestar!,,Belchertown,,MA,,,,,65,,1 with water core; 1 slightly greasy,,,medium-heavy,,,14,,,,3.3,,,http://fruit.umext.umass.edu/2013appleharvest/zestarapple082713.jpg,,,234.0,,,,,,8/27/2013,very few,,,,,,,,,11.7,5 (4-6),,,14.0,3.3,65.0,11.7,unknown,False,3,3
Dandee Red,,Belchertown,,MA,,,,,95-100,solid-blush,prone to drop,,,medium-heavy,,,16,,,,3.3,green,dark red,http://fruit.umext.umass.edu/2013appleharvest/dandeeredapple082713.jpg,,globose,209.0,,somewhat conspicuous,,,,8/27/2013,significant,,,,,,,,,12.5,4 (3-6),,,16.0,3.3,,12.5,unknown,False,3,3
Akane,,Belchertown,,MA,,,,,90,solid-stripe,,,,medium-heavy,,,18,,,,3.0,yellow-green,bright red,http://fruit.umext.umass.edu/2013appleharvest/akaneapple082713.jpg,,globose-conic,172.0,,somewhat conspicuous,,,,8/27/2013,nil,,5,stem,coarse,,,,,12.9,6.5 (6-7),,,18.0,3.0,90.0,12.9,unknown,False,3,3
Rubymac,,Belchertown,,MA,,,,,95,solid-blush,,,,heavy,,,17,,,,2.9,green,red,http://fruit.umext.umass.edu/2013appleharvest/rubymacapple082713.jpg,,round-globose,157.0,,inconspicuous,,,,8/27/2013,few,EMLA 9,,,,,,,,10.6,3.5 (3-4),,,17.0,2.9,95.0,10.6,unknown,False,3,3
Honeycrisp,,Belchertown,,MA,,,,,45,,,,,medium,,,20,,,,3.1,,,http://fruit.umext.umass.edu/2013appleharvest/honeycrispapple082713.jpg,,,228.0,,,,,,8/27/2013,nil,B.118,,,,,,,,11.4,2 (1-4),,,20.0,3.1,45.0,11.4,unknown,True,3,3
Lindamac,,Belchertown,,MA,,,,,65,,seeds still white; not ready to pick,,,medium-heavy,,,17,,,,3.0,,,http://fruit.umext.umass.edu/2013appleharvest/lindamac090213.jpg,,,162.0,,,,,,9/2/2013,nil,EMLA 9,,,,,,,,10.9,3.5 (3-4),,,17.0,3.0,65.0,10.9,unknown,False,3,3
Silken,,Belchertown,,MA,,,,,,,"eats OK, variable maturity, could use another 5- 7days",,,heavy,,,17,,,,2.8,yellow-green,,http://fruit.umext.umass.edu/2013appleharvest/silken090213.jpg,,,164.0,,,,,,9/2/2013,few,EMLA 9,,,,,,,,11.5,4 (3-6),,,17.0,2.8,,11.5,unknown,False,3,3
Buckeye Gala,,Belchertown,,MA,,,,,95,,"seeds dark, needs another week despite some background color change",,,heavy,,,20,,,,2.8,,,http://fruit.umext.umass.edu/2013appleharvest/buckeyegala090213.jpg,,,164.0,,,,,,9/2/2013,none,,,,,,,,,9.3,2 (1-3),,,20.0,2.8,95.0,9.3,unknown,False,3,3
Honeycrisp,,Belchertown,,MA,,,,,55,,these are farther along than I thought; some background color change; ready for 1st pick this week,,,medium-heavy,,,18,,,,3.1,,,http://fruit.umext.umass.edu/2013appleharvest/honeycrisp090213.jpg,,,240.0,,,,,,9/2/2013,few,,,,,,,,,12.3,5 (4-7),,,18.0,3.1,55.0,12.3,unknown,True,3,3
Honeycisp,,Northboro,,MA,,,,,60,,,,,medium,,,15.7,,,,3.4,,,http://fruit.umext.umass.edu/2013appleharvest/honeycrispapple-northboro-090513.jpg,,,280.0,,,,,,9/5/2013,,,,,,,,,,12.7,5.5 (4-7),,,15.7,3.4,60.0,12.7,unknown,False,3,3
Honeycrisp,,Harvard,,MA,,,,,55,,,,,,,,14.7,,,,3.15,,,http://fruit.umext.umass.edu/2013appleharvest/honeycrispapple-harvard-090513.jpg,,,212.0,,,,,,9/5/2013,,,,,,,,,,11.3,6 (4-8),,,14.7,3.15,55.0,11.3,unknown,True,3,3
Honeycrisp,,Stow,,MA,,,,,45,,,,,,,,16.8,,,,3.2,,,,,,229.0,,,,,,9/5/2013,,,,,,,,,,10.9,5 (3.5-7),,,16.8,3.2,45.0,10.9,unknown,True,3,3
Minneiska,,Belchertown,,MA,very good,,medium,,85,solid-blush,some calyx rot/defects,"prone to stem-end, few",stem,medium-heavy,very good,,15.7,sweet-fruity,yellow-white,crisp melting,3.2,green-yellow,orange-red,,medium-large,cylindrical-conic,241.0,,conspicuous,middle,,excellent,9/6/2013,some,,,,,,,very slightly greasy,somewhat thin,13.8,5.5 (4-6),upright-spreading,medium,15.7,3.2,85.0,13.8,fresh_premium,False,3,3
Snappy Mac,,Belchertown,,MA,,,,,75,,,,,medium,,,17,,,,3.0,,,http://fruit.umext.umass.edu/2013appleharvest/snappymacapple090913.jpg,,,168.0,,,,,,9/6/2013,few,MM106,,,,,,,,11.4,4.1 (4-5),,,17.0,3.0,75.0,11.4,unknown,False,3,3
Buckeye Gala,,Belchertown,,MA,,,,,95,,,,,heavy,,,20,,,,2.8,,,http://fruit.umext.umass.edu/2013appleharvest/buckeyegalaapple090913.jpg,,,174.0,,,,,,9/9/2013,nil,,,,,,,,,9.9,2.8 (1-4),,,20.0,2.8,95.0,9.9,unknown,False,3,3
Honeycrisp,,Belchertown,,MA,,,,,65,,,,,medium,,,14.7,,,,3.4,,,http://fruit.umext.umass.edu/2013appleharvest/honeycrispappleB118o0o913.jpg,,,280.0,,,,,,9/9/2013,few,Bud 118,,,,,,,,11.2,4.6  (3-6.5),,,14.7,3.4,65.0,11.2,unknown,True,3,3
Honeycrisp,,Belchertown,,MA,,,,,60,,,,,medium-heavy,,,15.7,,,,3.1,,,http://fruit.umext.umass.edu/2013appleharvest/honeycrispapplebud9.jpg,,,203.0,,,,,,9/10/2013,few,Bud 9,,,,,,,,11.4,6 (4-8),,,15.7,3.1,60.0,11.4,unknown,True,3,3
Blondee,,Belchertown,,MA,,,medium,,0-10,blush,,,,medium-heavy,,,18,,,,3.0,yellow-green,pink-red,http://fruit.umext.umass.edu/2013appleharvest/blondeeapple091013.jpg,medium,ovoid-conic,191.0,,somewhat conspicuous,,,,9/10/2013,none,EMLA 9,<5 clean,stem,,,,,,11.6,4.5 (3-7),upright-spreading,medium,18.0,3.0,,11.6,unknown,False,3,3
Lindamac,,Belchertown,,MA,,,,,80,,,,,,,,15.7,,,,3.0,,,http://fruit.umext.umass.edu/2013appleharvest/lindamacapple.jpg,,,169.0,,,,,,9/10/2013,some,EMLA 9,,,,,,,,11.6,4 (3-5),,,15.7,3.0,80.0,11.6,unknown,False,3,3
RiverBelle (DS-22),,Belchertown,no,MA,fair,,medium,faint,70,solid-blush-stripe,"good eating, complex flavor, good tannins, Greene likes ; bad appearance (russet) a limitation, and fruit size is BIG",absent,,light,very good,,16.8,"tart-sweet, complex",cream-white,medium-soft melting,3.6,yellow-green,orange-red,http://fruit.umext.umass.edu/2013appleharvest/riverbelleapple.jpg,large,round-obloid,309.0,September 1-15,inconspicuous,,mildew?,good,9/10/2013,nil,EMLA 26,0-25,"stem mostly, spills over side",coarse,,,dry,slightly thin,13.9,5.5 (3-7),upright-spreading,medium-strong,16.8,3.6,70.0,13.9,juice,False,5,3
Snappy Mac,,Belchertown,,MA,,,,,80,,,,,medium,,,16,tart,,,3.0,,,,,,170.0,,,,,,9/14/2013,some,EMLA 106,,,,,,,,12.7,5 (4-6),,,16.0,3.0,80.0,12.7,unknown,False,3,3
Cherry Gala,,Belchertown,,MA,,,medium,,95,solid-stripe,,prone to stem-end,stem,medium,,,17,,,,2.9,cream yellow,dark red,,medium-large,cylindrical-conic,202.0,,conspicuous,middle,,,9/14/2013,none,EMLA 9,<5,stem,fine,,,,,12.8,5.6 (4-8),upright-spreading,medium,17.0,2.9,95.0,12.8,unknown,False,3,3
Lindamac,,Belchertown,no,MA,,,,,90,,,,,medium,,,14.6,,,,3.0,,,http://fruit.umext.umass.edu/2013appleharvest/lindamac091613.jpg,,,173.0,,,,,,9/16/2013,few,EMLA 9,,,,,,,,11.5,4.5 (3.5-6),,,14.6,3.0,90.0,11.5,unknown,False,3,3
Redcort Cortland,,Belchertown,,MA,,,,,80,,,,,medium-heavy,,,14.8,,,,3.4,,,,,,237.0,,,,,,9/16/2013,none,,,,,,,,,9.9,2,,,14.8,3.4,80.0,9.9,unknown,False,3,3
Honeycrisp,,Belchertown,,MA,,,,,85,,at their peak,,,medium,,,14.7,,,,3.4,,,http://fruit.umext.umass.edu/2013appleharvest/honeycrisp091613.jpg,,,286.0,,,,,,9/16/2013,few,EMLA 9,,,,,,,,12.4,6,,,14.7,3.4,85.0,12.4,unknown,True,3,3
Buckeye Gala,,Belchertown,,MA,,,,,95,,,,,,,,18.5,,,,2.85,,,http://fruit.umext.umass.edu/2013appleharvest/buckeyegala091613.jpg,,,,,,,,,9/16/2013,none,,,,,,,,,10.5,5 (3-8),,,18.5,2.85,95.0,10.5,unknown,False,3,3
Macoun,,Northboro,,MA,,,,,60,,,,,medium,,,17.5,,,,3.15,,,,,,,,,,,,9/19/2013,,EMLA 9,,,,,,,,10.8,3.1 (2-4.5),,,17.5,3.15,60.0,10.8,unknown,False,3,3
Macoun,,Belchertown,,MA,,,,,70,,,,,medium-heavy,,,15.6,,,,3.0,,,,,,,,,,,,9/19/2013,some,,,,,,,,,10.6,3,,,15.6,3.0,70.0,10.6,unknown,False,3,3
Crimson Gold,,Belchertown,no,MA,very good,,medium,,50,solid-blush,"could probably use another week to fully mature, otherwise nice",absent,,medium,very good,,21,tart-sweet,green-white,crisp melting,3.25,light green,orange-red,,medium-large,slightly conic,232.0,September 16-30,somewhat conspicuous,middle-late,,very good,9/20/2013,none,EMLA 9,5,stem,medium,,resistant?,dry,average,14.2,5 (1-6),upright,medium,21.0,3.25,50.0,14.2,fresh_premium,False,3,4
Liberty,,Belchertown,,MA,,,,,95,,,,,,very good,,20,,,,2.95,,,http://fruit.umext.umass.edu/2013appleharvest/liberty090413.jpg,,,190.0,,,,,,9/24/2013,nil,EMLA 9,,,,,,,,12.1,"3.5, mostly 3",,,20.0,2.95,95.0,12.1,unknown,False,3,3
Rogers McIntosh,,Belchertown,,MA,,,,,70,,,,,,,,12.9,,,,3.3,,,http://fruit.umext.umass.edu/2013appleharvest/rogersmcintosh090413.jpg,,,213.0,,,,,,9/24/2013,some,Bud 9,,,,,,,,11.9,6.5 (6-7),,,12.9,3.3,70.0,11.9,unknown,False,3,3
Macoun,,Belchertown,,MA,,,,,70,,,,,,,,14.5,,,,3.35,,,http://fruit.umext.umass.edu/2013appleharvest/macoun090413.jpg,,,241.0,,,,,,9/24/2013,some,EMLA 7,,,,,,,,11,3.9 (3-4),,,14.5,3.35,70.0,11.0,unknown,False,3,3
